id;start_date;end_date;language
1;2021-01-02T15:10:01;2021-01-02T13:00:16;SPANISH
2;2021-01-01T20:00:12;2021-01-02T15:04:37;SPANISH
3;2021-01-02T10:55:31;2021-01-01T21:29:40;FRENCH
4;2021-01-02T02:13:02;2021-01-02T13:44:28;FRENCH
5;2021-01-02T11:43:20;2021-01-02T16:30:19;FRENCH
6;2021-01-02T05:35:41;2021-01-02T17:43:55;FRENCH
7;2021-01-02T07:21:01;2021-01-02T01:11:52;FRENCH
8;2021-01-02T06:17:14;2021-01-02T16:33:22;SPANISH
9;2021-01-02T04:58:23;2021-01-02T01:39:46;SPANISH
10;2021-01-02T13:10:27;2021-01-01T23:44:57;SPANISH
